size,order,algorithm,time
50,RANDOM,BubbleSortPassPerItem,13040
50,RANDOM,BubbleSortPassPerItem,12887
50,RANDOM,BubbleSortPassPerItem,13250
50,RANDOM,BubbleSortPassPerItem,13074
50,RANDOM,BubbleSortPassPerItem,12818
50,RANDOM,BubbleSortPassPerItem,13018
50,RANDOM,BubbleSortPassPerItem,13174
50,RANDOM,BubbleSortPassPerItem,12220
50,RANDOM,BubbleSortPassPerItem,13346
50,RANDOM,BubbleSortPassPerItem,12781
50,RANDOM,BubbleSortPassPerItem,13088
50,RANDOM,BubbleSortPassPerItem,13069
50,RANDOM,BubbleSortPassPerItem,13385
50,RANDOM,BubbleSortPassPerItem,12713
50,RANDOM,BubbleSortPassPerItem,13301
50,RANDOM,BubbleSortPassPerItem,12936
50,RANDOM,BubbleSortPassPerItem,12688
50,RANDOM,BubbleSortPassPerItem,13222
50,RANDOM,BubbleSortPassPerItem,13251
50,RANDOM,BubbleSortPassPerItem,13378
50,RANDOM,BubbleSortPassPerItem,13347
50,RANDOM,BubbleSortPassPerItem,13210
50,RANDOM,BubbleSortPassPerItem,13056
50,RANDOM,BubbleSortPassPerItem,12628
50,RANDOM,BubbleSortPassPerItem,13397
50,RANDOM,BubbleSortPassPerItem,13091
50,RANDOM,BubbleSortPassPerItem,12963
50,RANDOM,BubbleSortPassPerItem,12644
50,RANDOM,BubbleSortPassPerItem,12852
50,RANDOM,BubbleSortPassPerItem,12728
50,RANDOM,BubbleSortPassPerItem,13060
50,RANDOM,BubbleSortPassPerItem,13158
50,RANDOM,BubbleSortPassPerItem,13550
50,RANDOM,BubbleSortPassPerItem,13341
50,RANDOM,BubbleSortPassPerItem,12352
50,RANDOM,BubbleSortPassPerItem,13232
50,RANDOM,BubbleSortPassPerItem,13102
50,RANDOM,BubbleSortPassPerItem,13028
50,RANDOM,BubbleSortPassPerItem,13746
50,RANDOM,BubbleSortPassPerItem,13306
50,RANDOM,BubbleSortPassPerItem,12811
50,RANDOM,BubbleSortPassPerItem,12215
50,RANDOM,BubbleSortPassPerItem,13280
50,RANDOM,BubbleSortPassPerItem,12846
50,RANDOM,BubbleSortPassPerItem,13147
50,RANDOM,BubbleSortPassPerItem,12315
50,RANDOM,BubbleSortPassPerItem,13138
50,RANDOM,BubbleSortPassPerItem,13135
50,RANDOM,BubbleSortPassPerItem,12490
50,RANDOM,BubbleSortPassPerItem,12725
50,RANDOM,BubbleSortPassPerItem,13196
50,RANDOM,BubbleSortPassPerItem,12891
50,RANDOM,BubbleSortPassPerItem,12476
50,RANDOM,BubbleSortPassPerItem,13241
50,RANDOM,BubbleSortPassPerItem,20061
50,RANDOM,BubbleSortPassPerItem,13010
50,RANDOM,BubbleSortPassPerItem,13858
50,RANDOM,BubbleSortPassPerItem,12931
50,RANDOM,BubbleSortPassPerItem,12815
50,RANDOM,BubbleSortPassPerItem,12750
50,RANDOM,BubbleSortPassPerItem,12947
50,RANDOM,BubbleSortPassPerItem,13018
50,RANDOM,BubbleSortPassPerItem,13034
50,RANDOM,BubbleSortPassPerItem,12866
50,RANDOM,BubbleSortPassPerItem,12849
50,RANDOM,BubbleSortPassPerItem,13052
50,RANDOM,BubbleSortPassPerItem,13311
50,RANDOM,BubbleSortPassPerItem,13222
50,RANDOM,BubbleSortPassPerItem,12816
50,RANDOM,BubbleSortPassPerItem,13138
50,RANDOM,BubbleSortPassPerItem,12983
50,RANDOM,BubbleSortPassPerItem,12715
50,RANDOM,BubbleSortPassPerItem,13085
50,RANDOM,BubbleSortPassPerItem,13457
50,RANDOM,BubbleSortPassPerItem,12636
50,RANDOM,BubbleSortPassPerItem,12869
50,RANDOM,BubbleSortPassPerItem,12593
50,RANDOM,BubbleSortPassPerItem,13141
50,RANDOM,BubbleSortPassPerItem,12719
50,RANDOM,BubbleSortPassPerItem,12638
50,RANDOM,BubbleSortPassPerItem,13515
50,RANDOM,BubbleSortPassPerItem,12791
50,RANDOM,BubbleSortPassPerItem,13402
50,RANDOM,BubbleSortPassPerItem,12760
50,RANDOM,BubbleSortPassPerItem,12751
50,RANDOM,BubbleSortPassPerItem,12240
50,RANDOM,BubbleSortPassPerItem,13110
50,RANDOM,BubbleSortPassPerItem,13544
50,RANDOM,BubbleSortPassPerItem,12526
50,RANDOM,BubbleSortPassPerItem,12648
50,RANDOM,BubbleSortPassPerItem,12219
50,RANDOM,BubbleSortPassPerItem,12943
50,RANDOM,BubbleSortPassPerItem,13279
50,RANDOM,BubbleSortPassPerItem,12421
50,RANDOM,BubbleSortPassPerItem,12714
50,RANDOM,BubbleSortPassPerItem,13153
50,RANDOM,BubbleSortPassPerItem,13294
50,RANDOM,BubbleSortPassPerItem,13136
50,RANDOM,BubbleSortPassPerItem,13241
50,RANDOM,BubbleSortPassPerItem,12921
50,RANDOM,BubbleSortPassPerItem,13001
50,RANDOM,BubbleSortPassPerItem,12290
50,RANDOM,BubbleSortPassPerItem,12417
50,RANDOM,BubbleSortPassPerItem,12254
50,RANDOM,BubbleSortPassPerItem,13301
50,RANDOM,BubbleSortPassPerItem,12761
50,RANDOM,BubbleSortPassPerItem,13094
50,RANDOM,BubbleSortPassPerItem,12527
50,RANDOM,BubbleSortPassPerItem,12272
50,RANDOM,BubbleSortPassPerItem,12353
50,RANDOM,BubbleSortPassPerItem,12790
50,RANDOM,BubbleSortPassPerItem,13088
50,RANDOM,BubbleSortPassPerItem,13601
50,RANDOM,BubbleSortPassPerItem,12997
50,RANDOM,BubbleSortPassPerItem,12860
50,RANDOM,BubbleSortPassPerItem,13019
50,RANDOM,BubbleSortPassPerItem,12430
50,RANDOM,BubbleSortPassPerItem,12580
50,RANDOM,BubbleSortPassPerItem,12966
50,RANDOM,BubbleSortPassPerItem,13535
50,RANDOM,BubbleSortPassPerItem,12963
50,RANDOM,BubbleSortPassPerItem,13260
50,RANDOM,BubbleSortPassPerItem,13199
50,RANDOM,BubbleSortPassPerItem,12697
50,RANDOM,BubbleSortPassPerItem,13394
50,RANDOM,BubbleSortPassPerItem,12641
50,RANDOM,BubbleSortPassPerItem,12919
50,RANDOM,BubbleSortPassPerItem,13191
50,RANDOM,BubbleSortPassPerItem,13463
50,RANDOM,BubbleSortPassPerItem,13343
50,RANDOM,BubbleSortPassPerItem,13736
50,RANDOM,BubbleSortPassPerItem,12698
50,RANDOM,BubbleSortPassPerItem,13546
50,RANDOM,BubbleSortPassPerItem,12606
50,RANDOM,BubbleSortPassPerItem,12986
50,RANDOM,BubbleSortPassPerItem,13052
50,RANDOM,BubbleSortPassPerItem,13634
50,RANDOM,BubbleSortPassPerItem,13178
50,RANDOM,BubbleSortPassPerItem,13454
50,RANDOM,BubbleSortPassPerItem,12691
50,RANDOM,BubbleSortPassPerItem,13387
50,RANDOM,BubbleSortPassPerItem,13178
50,RANDOM,BubbleSortPassPerItem,12840
50,RANDOM,BubbleSortPassPerItem,13382
50,RANDOM,BubbleSortPassPerItem,12877
50,RANDOM,BubbleSortPassPerItem,13229
50,RANDOM,BubbleSortPassPerItem,12812
