size,order,algorithm,time
50,RANDOM,BubbleSortPassPerItem,28391
50,RANDOM,BubbleSortPassPerItem,28999
50,RANDOM,BubbleSortPassPerItem,28515
50,RANDOM,BubbleSortPassPerItem,27976
50,RANDOM,BubbleSortPassPerItem,28918
50,RANDOM,BubbleSortPassPerItem,29099
50,RANDOM,BubbleSortPassPerItem,28570
50,RANDOM,BubbleSortPassPerItem,27913
50,RANDOM,BubbleSortPassPerItem,29094
50,RANDOM,BubbleSortPassPerItem,28493
50,RANDOM,BubbleSortPassPerItem,28141
50,RANDOM,BubbleSortPassPerItem,28767
50,RANDOM,BubbleSortPassPerItem,28828
50,RANDOM,BubbleSortPassPerItem,29027
50,RANDOM,BubbleSortPassPerItem,28236
50,RANDOM,BubbleSortPassPerItem,28071
50,RANDOM,BubbleSortPassPerItem,29283
50,RANDOM,BubbleSortPassPerItem,28387
50,RANDOM,BubbleSortPassPerItem,28461
50,RANDOM,BubbleSortPassPerItem,28541
50,RANDOM,BubbleSortPassPerItem,29676
50,RANDOM,BubbleSortPassPerItem,28071
50,RANDOM,BubbleSortPassPerItem,28046
50,RANDOM,BubbleSortPassPerItem,29229
50,RANDOM,BubbleSortPassPerItem,27808
50,RANDOM,BubbleSortPassPerItem,28849
50,RANDOM,BubbleSortPassPerItem,28806
50,RANDOM,BubbleSortPassPerItem,28925
50,RANDOM,BubbleSortPassPerItem,28433
50,RANDOM,BubbleSortPassPerItem,28542
50,RANDOM,BubbleSortPassPerItem,27641
50,RANDOM,BubbleSortPassPerItem,29973
50,RANDOM,BubbleSortPassPerItem,28371
50,RANDOM,BubbleSortPassPerItem,27698
50,RANDOM,BubbleSortPassPerItem,28182
50,RANDOM,BubbleSortPassPerItem,28832
50,RANDOM,BubbleSortPassPerItem,28222
50,RANDOM,BubbleSortPassPerItem,27759
50,RANDOM,BubbleSortPassPerItem,28459
50,RANDOM,BubbleSortPassPerItem,28376
50,RANDOM,BubbleSortPassPerItem,28086
50,RANDOM,BubbleSortPassPerItem,27886
50,RANDOM,BubbleSortPassPerItem,28529
50,RANDOM,BubbleSortPassPerItem,28462
50,RANDOM,BubbleSortPassPerItem,28361
50,RANDOM,BubbleSortPassPerItem,28621
50,RANDOM,BubbleSortPassPerItem,28583
50,RANDOM,BubbleSortPassPerItem,28070
50,RANDOM,BubbleSortPassPerItem,32825
50,RANDOM,BubbleSortPassPerItem,28343
50,RANDOM,BubbleSortPassPerItem,29033
50,RANDOM,BubbleSortPassPerItem,29134
50,RANDOM,BubbleSortPassPerItem,28341
50,RANDOM,BubbleSortPassPerItem,28466
